user_id,timestamp,page_id,action_type,session_duration,device_type
847804,2024-07-31 15:37:24,6176,Add Favorite,388,Desktop
324873,2024-09-30 04:45:53,6663,Add Favorite,3576,Desktop
840724,2024-11-13 02:36:22,4243,Add to Cart,1932,Desktop
98784,2024-09-04 08:06:19,8106,Add Favorite,1957,Mobile
899979,2024-09-09 13:04:38,3225,View,1208,Mobile
78173,2024-11-20 23:31:34,9327,Add Favorite,3378,Mobile
683109,2024-08-09 18:25:19,6493,Add to Cart,2727,Tablet
143016,2024-07-17 02:25:12,4654,Add Favorite,1509,Tablet
798417,2024-09-22 01:59:10,3443,View,198,Tablet
954405,2024-09-10 22:40:17,3857,View,3176,Tablet
892568,2024-11-17 12:16:17,7273,Add to Cart,2926,Mobile
33853,2024-11-02 23:23:37,1303,Add to Cart,1847,Mobile
206928,2024-10-14 08:42:03,4122,View,3284,Tablet
52203,2024-11-13 18:49:48,2563,Add Favorite,1775,Tablet
37865,2024-09-24 06:22:56,9099,Add to Cart,832,Desktop
600291,2024-07-19 20:45:17,6327,View,2516,Tablet
348950,2024-08-14 22:10:48,815,View,1097,Desktop
916490,2024-09-20 09:51:17,6606,View,1578,Desktop
505751,2024-10-02 11:15:41,1541,Add to Cart,3296,Tablet
730487,2024-11-02 08:58:02,6974,Add to Cart,3009,Mobile
285446,2024-08-25 11:15:12,2790,Add Favorite,1088,Mobile
355992,2024-12-23 14:40:58,3357,View,426,Mobile
902722,2024-10-07 09:39:25,6983,Add Favorite,66,Tablet
816865,2024-08-03 03:20:15,8161,Add to Cart,430,Mobile
657840,2024-10-26 09:58:49,4315,View,3257,Tablet
387751,2024-12-15 03:21:18,6089,Add to Cart,3195,Desktop
271776,2024-07-28 05:43:05,6456,Add Favorite,1548,Desktop
802763,2024-11-10 23:44:35,8890,View,2499,Mobile
848410,2024-08-18 19:04:20,4312,Add Favorite,2072,Mobile
88683,2024-10-19 18:41:30,5675,View,1712,Mobile
520447,2024-10-26 18:48:31,7753,Add Favorite,3497,Tablet
330448,2024-11-17 10:41:43,6990,View,2902,Mobile
826480,2024-10-01 19:12:50,122,Add to Cart,2596,Mobile
219520,2024-10-30 17:55:57,1497,View,3050,Tablet
